site,background,non_cereal_crops,cereal_crops,development,wetland_open_water,pasture_or_barren,forest_and_tree_crops,tree_fruit_crops
Erikson,1.4705882352941175,26.294995610184372,38.74012291483758,1.9754170324846356,0.13169446883230906,31.387181738366987,0,0
Robinson,1.4705882352941175,33.29675153643547,17.47146619841967,6.387181738366989,0.2853380158033363,19.666374012291485,21.422300263388937,0
Meyer,0,36.645132546224104,54.978837157496095,4.678102027177545,0.1559367342392515,3.1632880374248162,0.37870349743818227,0
Asotin,1.4705882352941175,0.10974539069359085,0.3950834064969271,5.39947322212467,0.877963125548727,82.90166812993854,8.845478489903423,0
Anatone,2.941176470588235,31.10184372256365,24.012291483757682,3.6874451273046525,0.021949078138718173,37.993854258121154,0.2414398595258999,0
WSU Arboretum,1.4705882352941175,13.849868305531169,22.080772607550482,31.255487269534683,0.5267778753292363,26.514486391571555,4.236172080772607,0.06584723441615453
Clark,1.4705882352941175,45.93942054433713,32.440737489025466,4.433713784021071,0.2414398595258999,10.842844600526778,4.6093064091308165,0.021949078138718173
Hagen-Z,0,50.94675874359545,41.145021162842504,2.3390510135887723,0.2673201158387169,5.190465582535086,0.11138338159946534,0
PCEI,1.4705882352941175,6.782265144863916,12.37928007023705,67.77875329236171,0.06584723441615453,10.930640913081652,0.5926251097453906,0
Skinner,4.368512110726644,20.69636678200692,18.057958477508652,3.0060553633217997,0.043252595155709346,49.00519031141869,4.822664359861592,0
Wawawai,1.4705882352941175,0.39508340649692714,0.10974539069359088,2.2827041264266903,29.302019315188765,64.11325724319579,2.3046532045654082,0.021949078138718173
Magpie,1.4705882352941175,26.14135206321334,22.1027216856892,34.306409130816505,0.28533801580333623,14.266900790166812,1.4266900790166812,0
Schlee,1.4705882352941175,23.375768217734855,63.21334503950834,3.1167690956979808,0.06584723441615453,8.077260755048288,0.6804214223002635,0
Petty,1.4705882352941175,16.08867427568042,52.414398595259,2.3485513608428445,0.021949078138718173,27.633889376646177,0.021949078138718173,0
Hells Gate,4.368512110726644,0.3243944636678201,0.2162629757785467,16.327854671280278,15.441176470588239,61.353806228373706,1.967993079584775,0
Wolf,2.941176470588235,23.617208077260756,69.24934152765584,1.6681299385425814,0.021949078138718173,2.480245829675154,0,0.021949078138718173
Kambitsch,4.368512110726643,30.428200692041518,57.37456747404844,5.0821799307958475,0,2.7249134948096883,0.02162629757785467,0
Rose Creek,2.941176470588235,42.054433713784015,10.93064091308165,4.741000877963126,0.46093064091308156,26.053555750658468,12.796312554872694,0.021949078138718173
Greene,2.941176470588235,38.43283582089553,42.20807726075505,5.465320456540826,0,10.952589991220368,0,0
Laird,2.941176470588235,0.06584723441615453,0.08779631255487269,3.380158033362599,0.8340649692712907,42.88849868305531,49.802458296751546,0
Steffan,4.368512110726644,15.54930795847751,11.461937716262975,38.47318339100347,0.6704152249134948,26.25432525951557,3.157439446366782,0.06487889273356402
Schultheis,2.941176470588235,10.008779631255486,58.49429323968393,2.677787532923617,0.021949078138718173,24.473222124670766,1.382791922739245,0
Esser,1.4705882352941175,41.0667251975417,49.14398595258999,3.00702370500439,0.08779631255487269,1.4705882352941178,3.753292361720808,0
Schuster,2.941176470588235,10.491659350307287,54.609306409130824,1.909569798068481,0.8121158911325724,29.214223002633894,0.021949078138718173,0
Aeschliman,0,4.611271998217865,85.2305635999109,5.07908220093562,0.02227667631989307,4.945422143016262,0.11138338159946534,0
Steptoe,4.389815627743635,5.245829675153644,45.63213345039509,4.916593503072871,0.19754170324846357,35.95258999122037,3.6654960491659354,0
Farmington,1.4705882352941175,58.625987708516234,32.41878841088675,3.5996488147497807,0.3292361720807726,3.028972783143108,0.5267778753292361,0
Spillman,4.368512110726643,26.903114186851205,58.80190311418685,4.346885813148789,0.06487889273356401,5.27681660899654,0.2378892733564014,0
Smoot Hill,1.4705882352941175,16.94468832309043,20.8955223880597,2.1071115013169446,0.2853380158033363,43.1079894644425,15.18876207199298,0
Philips,4.368512110726644,26.859861591695505,14.078719723183392,5.92560553633218,0.15138408304498271,20.198961937716263,28.41695501730104,0
JW Trail,4.368512110726644,23.940311418685123,34.2560553633218,25.692041522491355,0.4541522491349481,10.83477508650519,0.4541522491349481,0
Idler,1.4705882352941175,17.954345917471468,1.3388937664618088,2.568042142230026,0.30728709394205445,27.458296751536437,48.90254609306409,0
